,0,1,2,3,4,5,6,7,8
37721,2016/6/13,0:0:3,4.0,0.0,0.05,40.28,25.0,34.0,27
37722,2016/6/13,0:0:9,4.0,0.0,0.05,36.13,25.0,34.0,28
37723,2016/6/13,0:0:15,4.0,0.0,0.04,34.47,26.0,34.0,28
37724,2016/6/13,0:0:21,4.0,0.0,0.05,36.96,25.0,34.0,28
37725,2016/6/13,0:0:27,4.0,0.0,0.05,37.79,25.0,34.0,28
37726,2016/6/13,0:0:33,4.0,0.0,0.05,37.79,26.0,34.0,28
37727,2016/6/13,0:0:39,4.0,0.0,0.05,44.43,25.0,34.0,28
37728,2016/6/13,0:0:46,4.0,0.0,0.05,43.6,25.0,34.0,28
37729,2016/6/13,0:0:52,4.0,0.0,0.05,65.19,25.0,34.0,28
37730,2016/6/13,0:0:58,4.0,0.0,0.05,30.32,25.0,34.0,28
37731,2016/6/13,0:1:4,4.0,0.0,0.05,43.6,25.0,34.0,27
37732,2016/6/13,0:1:10,4.0,0.0,0.05,46.92,26.0,34.0,28
37733,2016/6/13,0:1:16,4.0,0.0,0.05,33.64,25.0,34.0,28
37734,2016/6/13,0:1:22,5.0,0.0,0.05,42.77,25.0,34.0,28
37735,2016/6/13,0:1:28,4.0,0.0,0.05,44.43,25.0,34.0,28
37736,2016/6/13,0:1:34,4.0,0.0,0.05,50.24,25.0,34.0,28
37737,2016/6/13,0:1:40,4.0,0.0,0.05,39.45,25.0,34.0,27
37738,2016/6/13,0:1:46,4.0,0.0,0.05,36.96,25.0,34.0,28
37739,2016/6/13,0:1:52,4.0,0.0,0.05,36.13,25.0,34.0,27
37740,2016/6/13,0:1:58,4.0,0.0,0.05,35.3,25.0,34.0,28
37741,2016/6/13,0:2:4,4.0,0.0,0.05,35.3,25.0,34.0,28
37742,2016/6/13,0:2:10,4.0,0.0,0.05,53.56,25.0,34.0,28
37743,2016/6/13,0:2:17,4.0,0.0,0.05,36.96,25.0,34.0,28
37744,2016/6/13,0:2:23,4.0,0.0,0.05,41.94,25.0,34.0,28
37745,2016/6/13,0:2:29,4.0,0.0,0.05,51.07,25.0,34.0,28
37746,2016/6/13,0:2:35,4.0,0.0,0.05,44.43,25.0,34.0,28
37747,2016/6/13,0:2:41,4.0,0.0,0.05,37.79,25.0,34.0,28
37748,2016/6/13,0:2:47,4.0,0.0,0.04,40.28,25.0,34.0,28
37749,2016/6/13,0:2:53,4.0,0.0,0.05,30.32,25.0,34.0,28
37750,2016/6/13,0:2:59,4.0,0.0,0.05,41.94,25.0,34.0,27
37751,2016/6/13,0:3:5,4.0,0.0,0.05,40.28,25.0,34.0,28
37752,2016/6/13,0:3:11,4.0,0.0,0.05,36.96,25.0,34.0,28
37753,2016/6/13,0:3:17,4.0,0.0,0.05,36.13,25.0,34.0,27
37754,2016/6/13,0:3:23,4.0,0.0,0.05,23.68,25.0,34.0,28
37755,2016/6/13,0:3:29,4.0,0.0,0.04,37.79,25.0,34.0,27
37756,2016/6/13,0:3:35,4.0,0.0,0.05,43.6,25.0,34.0,28
37757,2016/6/13,0:3:42,4.0,0.0,0.05,33.64,25.0,34.0,28
37758,2016/6/13,0:3:48,4.0,0.0,0.05,38.62,25.0,34.0,28
37759,2016/6/13,0:3:54,4.0,0.0,0.05,32.81,25.0,34.0,28
37760,2016/6/13,0:4:0,4.0,0.0,0.05,41.94,25.0,34.0,28
37761,2016/6/13,0:4:6,4.0,0.0,0.05,28.66,26.0,34.0,27
37762,2016/6/13,0:4:12,4.0,0.0,0.04,54.39,25.0,34.0,28
37763,2016/6/13,0:4:18,4.0,0.0,0.05,43.6,25.0,34.0,28
