,0,1,2,3,4,5,6,7,8
42952,2016/6/15,14:7:12,4.0,0.0,0.05,-91.7,60.0,27.0,33
42953,2016/6/15,14:7:19,54.0,0.0,0.55,42.77,60.0,27.0,32
42954,2016/6/15,14:7:25,33.0,412.8,0.34,37.79,60.0,27.0,32
42955,2016/6/15,14:7:31,23.0,105.8,0.23,36.96,60.0,27.0,31
42956,2016/6/15,14:7:37,16.0,29.97,0.17,56.05,60.0,27.0,31
42957,2016/6/15,14:7:43,12.0,12.75,0.13,49.41,60.0,27.0,31
42958,2016/6/15,14:7:49,10.0,0.0,0.11,62.7,60.0,27.0,31
42959,2016/6/15,14:7:55,8.0,0.0,0.09,53.56,60.0,27.0,31
42960,2016/6/15,14:8:1,8.0,0.0,0.08,62.7,60.0,27.0,31
42961,2016/6/15,14:8:7,7.0,0.0,0.07,65.19,60.0,27.0,31
42962,2016/6/15,14:8:13,6.0,0.0,0.07,53.56,60.0,27.0,31
42963,2016/6/15,14:8:19,6.0,0.0,0.06,50.24,60.0,28.0,31
42964,2016/6/15,14:8:25,6.0,0.0,0.06,46.92,60.0,28.0,31
42965,2016/6/15,14:8:31,5.0,0.0,0.06,51.9,59.0,28.0,31
42966,2016/6/15,14:8:37,5.0,0.0,0.06,49.41,59.0,28.0,31
42967,2016/6/15,14:8:44,5.0,0.0,0.06,63.53,59.0,28.0,31
42968,2016/6/15,14:8:50,5.0,0.0,0.06,66.85,59.0,28.0,31
42969,2016/6/15,14:8:56,4.0,0.0,0.05,63.53,59.0,28.0,31
42970,2016/6/15,14:9:2,4.0,0.0,0.05,61.04,59.0,28.0,31
42971,2016/6/15,14:9:8,5.0,0.0,0.05,61.04,59.0,28.0,31
42972,2016/6/15,14:9:14,4.0,0.0,0.05,43.6,59.0,28.0,31
42973,2016/6/15,14:9:20,4.0,0.0,0.05,64.36,59.0,28.0,31
42974,2016/6/15,14:9:26,4.0,0.0,0.05,58.54,59.0,28.0,31
42975,2016/6/15,14:9:32,4.0,0.0,0.05,73.49,59.0,28.0,31
42976,2016/6/15,14:9:38,4.0,0.0,0.05,41.94,59.0,28.0,31
42977,2016/6/15,14:9:44,4.0,0.0,0.04,48.58,59.0,28.0,31
42978,2016/6/15,14:9:51,4.0,0.0,0.04,50.24,59.0,28.0,31
42979,2016/6/15,14:9:57,4.0,0.0,0.04,57.71,59.0,28.0,31
42980,2016/6/15,14:10:3,4.0,0.0,0.05,59.37,59.0,28.0,31
42981,2016/6/15,14:10:9,4.0,0.0,0.05,41.94,59.0,28.0,31
42982,2016/6/15,14:10:15,4.0,0.0,0.04,51.07,58.0,29.0,31
42983,2016/6/15,14:10:21,4.0,0.0,0.04,55.22,58.0,29.0,31
42984,2016/6/15,14:10:27,4.0,0.0,0.04,56.88,57.0,29.0,31
42985,2016/6/15,14:10:33,4.0,0.0,0.04,61.87,57.0,29.0,31
42986,2016/6/15,14:10:39,4.0,0.0,0.04,56.05,57.0,29.0,31
42987,2016/6/15,14:10:45,4.0,0.0,0.05,47.75,57.0,29.0,31
42988,2016/6/15,14:10:51,4.0,0.0,0.04,37.79,57.0,29.0,30
42989,2016/6/15,14:10:57,4.0,0.0,0.04,48.58,57.0,29.0,30
42990,2016/6/15,14:11:3,4.0,0.0,0.04,54.39,57.0,29.0,31
42991,2016/6/15,14:11:9,4.0,0.0,0.04,44.43,57.0,29.0,31
42992,2016/6/15,14:11:15,4.0,0.0,0.04,34.47,57.0,29.0,30
42993,2016/6/15,14:11:22,4.0,0.0,0.05,43.6,57.0,29.0,30
42994,2016/6/15,14:11:28,4.0,0.0,0.05,52.73,57.0,29.0,30
42995,2016/6/15,14:11:34,4.0,0.0,0.04,57.71,57.0,29.0,30
42996,2016/6/15,14:11:40,4.0,0.0,0.05,57.71,57.0,29.0,30
42997,2016/6/15,14:11:46,4.0,0.0,0.04,46.92,57.0,29.0,31
42998,2016/6/15,14:11:52,4.0,0.0,0.04,53.56,57.0,29.0,30
42999,2016/6/15,14:11:58,4.0,0.0,0.04,55.22,57.0,29.0,31
43000,2016/6/15,14:12:4,4.0,0.0,0.05,39.45,57.0,29.0,30
43001,2016/6/15,14:12:10,4.0,0.0,0.05,43.6,57.0,29.0,30
43002,2016/6/15,14:12:16,4.0,0.0,0.04,51.9,57.0,29.0,31
