,0,1,2,3,4,5,6,7,8
14487,2016/6/9,11:48:35,9.0,0.0,0.1,-91.7,42.0,31.0,28
14488,2016/6/9,11:48:41,50.0,0.0,0.51,46.09,42.0,31.0,26
14489,2016/6/9,11:48:47,34.0,471.23,0.35,42.77,42.0,31.0,26
14490,2016/6/9,11:48:51,28.0,219.49,0.29,-95.02,42.0,31.0,23
14491,2016/6/9,11:48:58,26.0,156.31,0.26,34.47,42.0,31.0,21
14492,2016/6/9,11:49:4,19.0,54.92,0.2,40.28,42.0,32.0,21
14493,2016/6/9,11:49:10,14.0,22.05,0.15,32.81,42.0,31.0,21
14494,2016/6/9,11:49:16,12.0,11.83,0.12,56.88,42.0,32.0,21
14495,2016/6/9,11:49:22,10.0,0.0,0.11,52.73,42.0,32.0,21
14496,2016/6/9,11:49:28,9.0,0.0,0.09,41.94,42.0,31.0,21
14497,2016/6/9,11:49:34,8.0,0.0,0.09,31.98,42.0,32.0,21
14498,2016/6/9,11:49:40,8.0,0.0,0.09,46.09,42.0,32.0,21
14499,2016/6/9,11:49:46,7.0,0.0,0.08,35.3,42.0,32.0,21
14500,2016/6/9,11:49:52,7.0,0.0,0.08,46.09,42.0,32.0,21
14501,2016/6/9,11:49:58,7.0,0.0,0.07,44.43,42.0,32.0,21
14502,2016/6/9,11:50:4,7.0,0.0,0.07,36.96,42.0,32.0,21
14503,2016/6/9,11:50:10,6.0,0.0,0.07,37.79,42.0,32.0,21
14504,2016/6/9,11:50:16,6.0,0.0,0.07,47.75,42.0,32.0,21
14505,2016/6/9,11:50:22,6.0,0.0,0.06,46.92,42.0,32.0,21
14506,2016/6/9,11:50:29,5.0,0.0,0.06,31.98,42.0,32.0,21
14507,2016/6/9,11:50:35,5.0,0.0,0.06,35.3,41.0,32.0,21
14508,2016/6/9,11:50:41,5.0,0.0,0.05,38.62,41.0,32.0,21
14509,2016/6/9,11:50:47,5.0,0.0,0.06,47.75,41.0,32.0,21
14510,2016/6/9,11:50:53,5.0,0.0,0.05,42.77,41.0,32.0,21
14511,2016/6/9,11:50:59,5.0,0.0,0.05,46.92,41.0,32.0,21
14512,2016/6/9,11:51:5,4.0,0.0,0.05,36.13,41.0,32.0,21
14513,2016/6/9,11:51:11,4.0,0.0,0.05,46.92,41.0,32.0,21
14514,2016/6/9,11:51:17,4.0,0.0,0.05,33.64,40.0,32.0,21
14515,2016/6/9,11:51:23,4.0,0.0,0.05,35.3,40.0,32.0,21
14516,2016/6/9,11:51:29,5.0,0.0,0.05,34.47,40.0,32.0,21
14517,2016/6/9,11:51:35,4.0,0.0,0.05,25.34,40.0,32.0,21
14518,2016/6/9,11:51:41,4.0,0.0,0.05,46.09,40.0,32.0,21
14519,2016/6/9,11:51:47,4.0,0.0,0.05,100.88,40.0,32.0,21
14520,2016/6/9,11:51:54,5.0,0.0,0.05,39.45,40.0,32.0,21
