,0,1,2,3,4,5,6,7,8
0,2016/6/6,14:35:24,14.0,19.79,0.14,-95.02,45.0,27.0,30
1,2016/6/6,14:35:30,29.0,243.76,0.3,21.19,45.0,27.0,27
2,2016/6/6,15:33:8,6.0,0.0,0.06,-95.85,46.0,27.0,30
3,2016/6/6,15:33:14,29.0,243.76,0.29,15.38,45.0,27.0,25
4,2016/6/6,15:33:20,27.0,186.93,0.28,33.64,45.0,27.0,24
5,2016/6/6,15:33:26,21.0,77.69,0.22,32.81,45.0,27.0,23
6,2016/6/6,15:33:32,17.0,40.63,0.18,40.28,45.0,27.0,23
7,2016/6/6,15:33:38,14.0,20.67,0.15,32.81,45.0,27.0,23
8,2016/6/6,15:33:44,12.0,11.83,0.12,29.49,45.0,27.0,22
9,2016/6/6,15:33:50,10.0,0.0,0.1,33.64,45.0,27.0,22
10,2016/6/6,15:33:56,8.0,0.0,0.09,24.51,45.0,27.0,23
11,2016/6/6,15:34:2,7.0,0.0,0.08,44.43,45.0,27.0,23
12,2016/6/6,15:34:8,7.0,0.0,0.07,32.81,45.0,27.0,23
13,2016/6/6,15:34:14,6.0,0.0,0.07,34.47,45.0,27.0,22
14,2016/6/6,15:34:20,6.0,0.0,0.06,42.77,45.0,27.0,23
15,2016/6/6,15:34:27,6.0,0.0,0.06,41.11,45.0,27.0,22
16,2016/6/6,15:34:33,6.0,0.0,0.06,43.6,45.0,28.0,22
17,2016/6/6,15:34:39,6.0,0.0,0.06,39.45,45.0,28.0,23
18,2016/6/6,15:34:45,5.0,0.0,0.06,34.47,45.0,27.0,22
19,2016/6/6,15:34:51,5.0,0.0,0.06,39.45,45.0,28.0,22
20,2016/6/6,15:34:57,6.0,0.0,0.06,278.52,45.0,28.0,22
21,2016/6/6,15:35:3,6.0,0.0,0.06,27.0,45.0,28.0,23
22,2016/6/6,15:35:9,7.0,0.0,0.08,67.68,45.0,28.0,22
23,2016/6/6,15:35:15,20.0,63.92,0.21,37.79,45.0,28.0,22
24,2016/6/6,15:35:21,19.0,57.8,0.2,40.28,45.0,28.0,22
25,2016/6/6,15:35:27,12.0,12.75,0.02,31.15,45.0,28.0,22
26,2016/6/6,15:35:33,3.0,0.0,0.04,27.0,45.0,28.0,22
27,2016/6/6,15:35:39,8.0,0.0,0.08,42.77,45.0,28.0,22
28,2016/6/6,15:35:46,8.0,0.0,0.08,32.81,0.0,0.0,21
29,2016/6/6,15:35:52,7.0,0.0,0.08,25.34,0.0,0.0,24
30,2016/6/6,15:35:58,7.0,0.0,0.08,24.51,45.0,24.0,23
31,2016/6/6,15:36:4,6.0,0.0,0.07,29.49,45.0,24.0,22
32,2016/6/6,15:36:10,6.0,0.0,0.07,38.62,45.0,24.0,22
33,2016/6/6,15:36:16,6.0,0.0,0.06,50.24,45.0,24.0,22
34,2016/6/6,15:36:22,6.0,0.0,0.06,24.51,45.0,24.0,22
35,2016/6/6,15:36:28,6.0,0.0,0.06,24.51,45.0,24.0,22
36,2016/6/6,15:36:34,6.0,0.0,0.06,31.15,44.0,24.0,22
37,2016/6/6,21:16:37,1.0,0.0,0.01,-94.19,59.0,28.0,35
38,2016/6/6,21:16:43,25.0,145.71,0.25,40.28,58.0,28.0,32
39,2016/6/6,21:16:49,26.0,167.55,0.27,46.09,58.0,28.0,32
40,2016/6/6,21:16:55,21.0,78.93,0.22,54.39,58.0,28.0,32
41,2016/6/6,21:17:1,17.0,40.63,0.18,40.28,58.0,28.0,32
42,2016/6/6,21:17:7,14.0,21.58,0.15,26.17,58.0,28.0,31
43,2016/6/6,21:17:13,12.0,11.54,0.12,31.98,58.0,28.0,32
44,2016/6/6,21:17:19,10.0,0.0,0.1,58.54,58.0,28.0,32
45,2016/6/6,21:17:25,9.0,0.0,0.1,35.3,58.0,28.0,31
46,2016/6/6,21:17:31,8.0,0.0,0.09,41.11,58.0,28.0,31
47,2016/6/6,21:17:37,8.0,0.0,0.08,33.64,57.0,29.0,31
48,2016/6/6,21:17:43,7.0,0.0,0.08,36.96,57.0,29.0,31
49,2016/6/6,21:17:50,7.0,0.0,0.08,39.45,57.0,29.0,31
50,2016/6/6,21:17:56,7.0,0.0,0.07,63.53,57.0,29.0,31
51,2016/6/6,21:18:2,7.0,0.0,0.07,41.94,57.0,29.0,31
52,2016/6/6,21:18:8,7.0,0.0,0.07,79.3,57.0,29.0,31
53,2016/6/6,21:18:14,7.0,0.0,0.07,31.98,57.0,29.0,31
54,2016/6/6,21:18:20,7.0,0.0,0.07,52.73,57.0,29.0,31
55,2016/6/6,21:18:26,7.0,0.0,0.07,46.92,57.0,29.0,31
56,2016/6/6,21:18:32,6.0,0.0,0.07,43.6,57.0,29.0,31
57,2016/6/6,21:18:38,7.0,0.0,0.07,42.77,57.0,29.0,31
58,2016/6/6,21:18:44,6.0,0.0,0.07,38.62,57.0,29.0,31
59,2016/6/6,21:18:50,7.0,0.0,0.07,33.64,57.0,29.0,31
60,2016/6/6,21:18:56,6.0,0.0,0.07,36.13,57.0,29.0,31
61,2016/6/6,21:19:2,6.0,0.0,0.07,39.45,57.0,29.0,31
62,2016/6/6,21:19:8,7.0,0.0,0.07,46.92,57.0,29.0,31
63,2016/6/6,21:19:14,7.0,0.0,0.07,36.96,57.0,29.0,31
64,2016/6/6,21:19:20,7.0,0.0,0.07,56.05,57.0,29.0,31
65,2016/6/6,21:19:27,7.0,0.0,0.07,55.22,57.0,29.0,31
66,2016/6/6,21:19:33,6.0,0.0,0.07,39.45,56.0,29.0,31
67,2016/6/6,21:19:39,6.0,0.0,0.07,39.45,56.0,30.0,31
68,2016/6/6,21:19:45,6.0,0.0,0.07,32.81,56.0,30.0,31
69,2016/6/6,21:19:51,6.0,0.0,0.07,34.47,56.0,30.0,31
70,2016/6/6,21:19:57,6.0,0.0,0.07,46.09,56.0,30.0,31
71,2016/6/6,21:20:3,6.0,0.0,0.07,32.81,55.0,30.0,31
72,2016/6/6,21:20:9,7.0,0.0,0.07,71.83,55.0,30.0,31
73,2016/6/6,21:20:15,6.0,0.0,0.07,36.13,55.0,30.0,31
74,2016/6/6,21:20:21,6.0,0.0,0.07,31.98,55.0,30.0,31
75,2016/6/6,21:20:27,6.0,0.0,0.07,36.13,55.0,30.0,31
76,2016/6/6,21:20:33,6.0,0.0,0.07,32.81,55.0,30.0,31
77,2016/6/6,21:20:39,7.0,0.0,0.07,33.64,54.0,30.0,31
78,2016/6/6,21:20:45,6.0,0.0,0.07,45.26,54.0,30.0,31
79,2016/6/6,21:20:51,6.0,0.0,0.07,40.28,54.0,30.0,30
80,2016/6/6,21:20:58,6.0,0.0,0.07,54.39,54.0,30.0,31
81,2016/6/6,21:21:4,7.0,0.0,0.07,34.47,54.0,30.0,31
82,2016/6/6,21:21:10,7.0,0.0,0.07,37.79,54.0,30.0,30
83,2016/6/6,21:21:16,7.0,0.0,0.07,31.15,53.0,30.0,30
84,2016/6/6,21:21:22,7.0,0.0,0.07,52.73,53.0,30.0,31
85,2016/6/6,21:21:28,7.0,0.0,0.08,46.09,53.0,30.0,31
86,2016/6/6,21:21:34,7.0,0.0,0.07,31.15,53.0,30.0,30
87,2016/6/6,21:21:40,7.0,0.0,0.07,45.26,53.0,30.0,30
88,2016/6/6,21:21:46,7.0,0.0,0.08,41.11,53.0,30.0,30
89,2016/6/6,21:21:52,7.0,0.0,0.08,33.64,53.0,30.0,30
90,2016/6/6,21:21:58,7.0,0.0,0.08,32.81,53.0,30.0,30
91,2016/6/6,21:22:4,8.0,0.0,0.08,33.64,53.0,30.0,30
92,2016/6/6,21:22:10,7.0,0.0,0.08,38.62,53.0,30.0,31
93,2016/6/6,21:22:16,7.0,0.0,0.08,51.9,53.0,30.0,30
94,2016/6/6,21:22:22,7.0,0.0,0.08,33.64,53.0,30.0,30
95,2016/6/6,21:22:29,8.0,0.0,0.08,35.3,53.0,30.0,30
96,2016/6/6,21:22:35,8.0,0.0,0.08,32.81,52.0,30.0,30
97,2016/6/6,21:22:41,8.0,0.0,0.08,36.96,52.0,30.0,30
98,2016/6/6,21:22:47,8.0,0.0,0.08,39.45,52.0,30.0,30
99,2016/6/6,21:22:53,8.0,0.0,0.08,32.81,52.0,30.0,30
100,2016/6/6,21:22:59,8.0,0.0,0.08,30.32,52.0,30.0,30
101,2016/6/6,21:23:5,8.0,0.0,0.09,41.11,52.0,30.0,30
102,2016/6/6,21:23:11,8.0,0.0,0.08,44.43,52.0,30.0,31
103,2016/6/6,21:23:17,8.0,0.0,0.09,57.71,52.0,30.0,30
104,2016/6/6,21:23:23,8.0,0.0,0.09,36.13,52.0,30.0,30
