,0,1,2,3,4,5,6,7,8,9,10
127016,2016/6/15,17:9:16,17.0,39.89,SH,26.17,57.0,33.0,91.4,101.25,74
127017,2016/6/15,17:9:22,16.0,29.38,SH,64.36,57.0,33.0,91.4,101.25,78
127018,2016/6/15,17:9:28,15.0,23.0,SH,85.11,57.0,33.0,91.4,101.25,77
127019,2016/6/15,17:9:34,13.0,16.55,SH,93.41,57.0,33.0,91.4,101.25,76
127020,2016/6/15,17:9:40,13.0,17.71,SH,78.47,57.0,33.0,91.4,101.25,73
127021,2016/6/15,17:9:47,12.0,13.06,SH,85.11,58.0,33.0,91.4,101.87,73
127022,2016/6/15,17:9:53,11.0,0.0,SH,97.56,58.0,33.0,91.4,101.87,75
127023,2016/6/15,17:9:59,12.0,12.13,6.80,75.15,58.0,33.0,91.4,101.87,75
127024,2016/6/15,17:10:5,19.0,51.25,8.46,88.43,57.0,33.0,91.4,101.25,71
127025,2016/6/15,17:10:11,15.0,23.0,4.57,94.24,58.0,33.0,91.4,101.87,74
127026,2016/6/15,17:10:17,13.0,15.08,2.72,83.45,57.0,33.0,91.4,101.25,72
127027,2016/6/15,17:10:23,11.0,0.0,2.01,73.49,57.0,33.0,91.4,101.25,73
127028,2016/6/15,17:10:29,10.0,0.0,1.53,88.43,57.0,33.0,91.4,101.25,74
127029,2016/6/15,17:10:36,11.0,0.0,1.34,81.79,57.0,33.0,91.4,101.25,71
127030,2016/6/15,17:10:42,9.0,0.0,1.05,90.92,57.0,33.0,91.4,101.25,73
127031,2016/6/15,17:10:48,10.0,0.0,1.05,93.41,57.0,33.0,91.4,101.25,69
127032,2016/6/15,17:10:54,9.0,0.0,0.84,91.75,58.0,33.0,91.4,101.87,73
127033,2016/6/15,17:11:0,8.0,0.0,0.68,90.92,57.0,33.0,91.4,101.25,73
127034,2016/6/15,17:11:6,9.0,0.0,0.61,124.95,57.0,33.0,91.4,101.25,70
127035,2016/6/15,17:11:12,9.0,0.0,0.55,110.84,57.0,33.0,91.4,101.25,73
127036,2016/6/15,17:11:19,9.0,0.0,0.61,90.09,57.0,33.0,91.4,101.25,73
127037,2016/6/15,17:11:25,8.0,0.0,0.55,134.08,57.0,33.0,91.4,101.25,72
127038,2016/6/15,17:11:31,8.0,0.0,SH,87.6,57.0,34.0,93.2,105.72,71
127039,2016/6/15,17:11:37,8.0,0.0,SH,75.98,57.0,34.0,93.2,105.72,70
127040,2016/6/15,17:11:43,8.0,0.0,SH,86.77,57.0,34.0,93.2,105.72,72
127041,2016/6/15,17:11:49,8.0,0.0,SH,90.09,57.0,34.0,93.2,105.72,73
127042,2016/6/15,17:11:55,8.0,0.0,SH,89.26,57.0,34.0,93.2,105.72,74
127043,2016/6/15,17:12:1,11.0,0.0,SH,90.92,57.0,34.0,93.2,105.72,74
127044,2016/6/15,17:12:8,9.0,0.0,SH,77.64,57.0,34.0,93.2,105.72,71
127045,2016/6/15,17:12:14,13.0,14.73,SH,82.62,57.0,34.0,93.2,105.72,71
127046,2016/6/15,17:12:20,12.0,11.83,SH,78.47,57.0,34.0,93.2,105.72,70
127047,2016/6/15,17:12:26,12.0,12.13,SH,88.43,57.0,34.0,93.2,105.72,70
127048,2016/6/15,17:12:32,10.0,0.0,0.42,81.79,57.0,34.0,93.2,105.72,69
127049,2016/6/15,17:12:38,10.0,0.0,0.39,156.49,57.0,34.0,93.2,105.72,72
127050,2016/6/15,17:12:44,12.0,13.71,0.39,80.96,57.0,34.0,93.2,105.72,72
127051,2016/6/15,17:12:50,13.0,16.93,0.50,95.07,57.0,34.0,93.2,105.72,73
127052,2016/6/15,17:12:57,13.0,15.44,0.50,69.34,57.0,34.0,93.2,105.72,72
127053,2016/6/15,17:13:3,15.0,26.58,0.61,85.94,57.0,34.0,93.2,105.72,72
127054,2016/6/15,17:13:9,13.0,16.17,0.61,112.5,57.0,34.0,93.2,105.72,72
127055,2016/6/15,17:13:15,14.0,19.79,0.68,100.05,57.0,34.0,93.2,105.72,72
127056,2016/6/15,17:13:21,12.0,11.83,0.50,69.34,56.0,34.0,93.2,105.02,69
127057,2016/6/15,17:13:27,16.0,33.04,0.68,90.92,57.0,34.0,93.2,105.72,69
127058,2016/6/15,17:13:33,13.0,17.71,0.61,76.81,56.0,34.0,93.2,105.02,68
127059,2016/6/15,17:13:40,12.0,12.75,0.55,102.54,56.0,34.0,93.2,105.02,69
127060,2016/6/15,17:13:46,12.0,10.97,0.46,77.64,56.0,34.0,93.2,105.02,72
127061,2016/6/15,17:13:52,9.0,0.0,0.30,83.45,56.0,34.0,93.2,105.02,72
127062,2016/6/15,17:13:58,10.0,0.0,0.33,103.37,56.0,34.0,93.2,105.02,71
127063,2016/6/15,17:14:4,9.0,0.0,SH,74.32,56.0,34.0,93.2,105.02,69
127064,2016/6/15,17:14:10,9.0,0.0,SH,83.45,56.0,34.0,93.2,105.02,69
127065,2016/6/15,17:14:16,9.0,0.0,SH,77.64,56.0,34.0,93.2,105.02,69
127066,2016/6/15,17:14:23,10.0,0.0,SH,97.56,56.0,34.0,93.2,105.02,69
127067,2016/6/15,17:14:29,12.0,13.06,SH,80.96,56.0,34.0,93.2,105.02,69
127068,2016/6/15,17:14:35,10.0,0.0,SH,97.56,56.0,34.0,93.2,105.02,70
127069,2016/6/15,17:14:41,8.0,0.0,SH,74.32,56.0,34.0,93.2,105.02,72
127070,2016/6/15,17:14:47,9.0,0.0,SH,78.47,55.0,35.0,95.0,108.95,72
127071,2016/6/15,17:14:53,8.0,0.0,SH,85.94,56.0,34.0,93.2,105.02,73
127072,2016/6/15,17:14:59,8.0,0.0,SH,88.43,55.0,35.0,95.0,108.95,72
127073,2016/6/15,17:15:5,7.0,0.0,0.18,75.15,54.0,35.0,95.0,108.17,70
127074,2016/6/15,17:15:12,7.0,0.0,0.15,75.15,54.0,35.0,95.0,108.17,67
127075,2016/6/15,17:15:18,7.0,0.0,0.14,78.47,54.0,35.0,95.0,108.17,68
127076,2016/6/15,17:15:24,9.0,0.0,0.14,81.79,54.0,35.0,95.0,108.17,69
127077,2016/6/15,17:15:30,8.0,0.0,0.14,92.58,54.0,35.0,95.0,108.17,72
127078,2016/6/15,17:15:36,8.0,0.0,0.14,85.11,54.0,35.0,95.0,108.17,71
127079,2016/6/15,17:15:42,7.0,0.0,0.12,98.39,54.0,35.0,95.0,108.17,71
127080,2016/6/15,17:15:48,7.0,0.0,0.10,101.71,54.0,35.0,95.0,108.17,71
127081,2016/6/15,17:15:55,7.0,0.0,0.12,91.75,54.0,35.0,95.0,108.17,71
127082,2016/6/15,17:16:1,7.0,0.0,0.10,91.75,54.0,35.0,95.0,108.17,71
127083,2016/6/15,17:16:7,7.0,0.0,0.08,110.01,54.0,35.0,95.0,108.17,70
127084,2016/6/15,17:16:13,7.0,0.0,0.10,108.35,54.0,35.0,95.0,108.17,70
127085,2016/6/15,17:16:19,7.0,0.0,0.09,120.8,54.0,35.0,95.0,108.17,69
127086,2016/6/15,17:16:25,7.0,0.0,0.09,88.43,54.0,35.0,95.0,108.17,69
127087,2016/6/15,17:16:31,7.0,0.0,0.10,78.47,54.0,35.0,95.0,108.17,68
127088,2016/6/15,17:16:37,7.0,0.0,SH,88.43,54.0,35.0,95.0,108.17,69
127089,2016/6/15,17:16:44,7.0,0.0,SH,84.28,54.0,35.0,95.0,108.17,71
127090,2016/6/15,17:16:50,8.0,0.0,SH,78.47,54.0,35.0,95.0,108.17,72
127091,2016/6/15,17:16:56,9.0,0.0,SH,83.45,54.0,35.0,95.0,108.17,73
127092,2016/6/15,17:17:2,8.0,0.0,SH,84.28,54.0,35.0,95.0,108.17,72
127093,2016/6/15,17:17:8,7.0,0.0,SH,165.63,54.0,35.0,95.0,108.17,70
127094,2016/6/15,17:17:14,7.0,0.0,SH,75.98,54.0,35.0,95.0,108.17,70
127095,2016/6/15,17:17:20,7.0,0.0,SH,66.02,54.0,35.0,95.0,108.17,68
127096,2016/6/15,17:17:26,6.0,0.0,SH,82.62,54.0,35.0,95.0,108.17,71
127097,2016/6/15,17:17:33,7.0,0.0,SH,67.68,54.0,35.0,95.0,108.17,72
127098,2016/6/15,17:17:39,7.0,0.0,0.07,83.45,54.0,35.0,95.0,108.17,70
127099,2016/6/15,17:17:45,6.0,0.0,0.07,71.83,54.0,35.0,95.0,108.17,66
127100,2016/6/15,17:17:51,7.0,0.0,0.07,75.98,54.0,35.0,95.0,108.17,70
127101,2016/6/15,17:17:57,6.0,0.0,0.07,73.49,54.0,35.0,95.0,108.17,70
127102,2016/6/15,17:18:3,6.0,0.0,0.07,75.98,54.0,35.0,95.0,108.17,70
127103,2016/6/15,17:18:9,6.0,0.0,0.07,62.7,54.0,35.0,95.0,108.17,67
127104,2016/6/15,17:18:16,6.0,0.0,0.06,91.75,54.0,35.0,95.0,108.17,68
127105,2016/6/15,17:18:22,6.0,0.0,0.06,86.77,54.0,35.0,95.0,108.17,71
127106,2016/6/15,17:18:28,6.0,0.0,0.06,98.39,54.0,35.0,95.0,108.17,70
127107,2016/6/15,17:18:34,6.0,0.0,0.07,68.51,54.0,36.0,96.8,113.03,70
127108,2016/6/15,17:18:40,6.0,0.0,0.06,92.58,54.0,36.0,96.8,113.03,67
127109,2016/6/15,17:18:46,6.0,0.0,0.06,92.58,54.0,36.0,96.8,113.03,67
127110,2016/6/15,17:18:52,7.0,0.0,0.07,95.07,53.0,36.0,96.8,112.16,70
127111,2016/6/15,17:18:58,8.0,0.0,0.07,90.09,53.0,36.0,96.8,112.16,70
127112,2016/6/15,17:19:5,7.0,0.0,0.07,91.75,54.0,36.0,96.8,113.03,70
127113,2016/6/15,17:19:11,7.0,0.0,SH,85.94,54.0,36.0,96.8,113.03,70
127114,2016/6/15,17:19:17,7.0,0.0,SH,103.37,53.0,36.0,96.8,112.16,72
127115,2016/6/15,17:19:23,7.0,0.0,SH,84.28,53.0,36.0,96.8,112.16,68
127116,2016/6/15,17:19:29,7.0,0.0,SH,80.96,53.0,36.0,96.8,112.16,71
127117,2016/6/15,17:19:35,7.0,0.0,SH,74.32,53.0,36.0,96.8,112.16,72
127118,2016/6/15,17:19:41,6.0,0.0,SH,88.43,53.0,36.0,96.8,112.16,68
127119,2016/6/15,17:19:48,6.0,0.0,SH,71.0,53.0,36.0,96.8,112.16,71
127120,2016/6/15,17:19:54,7.0,0.0,SH,94.24,53.0,36.0,96.8,112.16,70
127121,2016/6/15,17:20:0,7.0,0.0,SH,66.85,53.0,36.0,96.8,112.16,71
127122,2016/6/15,17:20:6,6.0,0.0,SH,80.13,53.0,36.0,96.8,112.16,71
127123,2016/6/15,17:20:12,6.0,0.0,0.06,85.11,53.0,36.0,96.8,112.16,69
127124,2016/6/15,17:20:18,6.0,0.0,0.05,91.75,53.0,36.0,96.8,112.16,68
127125,2016/6/15,17:20:24,6.0,0.0,0.06,87.6,53.0,36.0,96.8,112.16,71
127126,2016/6/15,17:20:30,6.0,0.0,0.06,88.43,53.0,36.0,96.8,112.16,67
127127,2016/6/15,17:20:37,6.0,0.0,0.06,90.09,53.0,36.0,96.8,112.16,70
127128,2016/6/15,17:20:43,7.0,0.0,0.07,90.92,53.0,36.0,96.8,112.16,69
127129,2016/6/15,17:20:49,8.0,0.0,0.07,80.96,53.0,36.0,96.8,112.16,70
127130,2016/6/15,17:20:55,8.0,0.0,0.07,68.51,53.0,36.0,96.8,112.16,69
127131,2016/6/15,17:21:1,7.0,0.0,0.06,65.19,53.0,36.0,96.8,112.16,70
127132,2016/6/15,17:21:7,7.0,0.0,0.06,66.02,53.0,36.0,96.8,112.16,67
127133,2016/6/15,17:21:13,7.0,0.0,0.06,84.28,53.0,36.0,96.8,112.16,71
127134,2016/6/15,17:21:20,7.0,0.0,0.06,61.04,52.0,36.0,96.8,111.3,70
127135,2016/6/15,17:21:26,7.0,0.0,0.06,75.15,53.0,36.0,96.8,112.16,67
127136,2016/6/15,17:21:32,6.0,0.0,0.05,77.64,52.0,36.0,96.8,111.3,70
127137,2016/6/15,17:21:38,6.0,0.0,0.05,72.66,52.0,36.0,96.8,111.3,67
127138,2016/6/15,17:21:44,6.0,0.0,SH,73.49,52.0,36.0,96.8,111.3,72
127139,2016/6/15,17:21:50,6.0,0.0,SH,83.45,52.0,36.0,96.8,111.3,71
127140,2016/6/15,17:21:56,6.0,0.0,SH,80.96,52.0,36.0,96.8,111.3,72
127141,2016/6/15,17:22:3,6.0,0.0,SH,71.0,52.0,36.0,96.8,111.3,71
127142,2016/6/15,17:22:9,6.0,0.0,SH,83.45,52.0,36.0,96.8,111.3,69
127143,2016/6/15,17:22:15,6.0,0.0,SH,92.58,52.0,36.0,96.8,111.3,71
127144,2016/6/15,17:22:21,7.0,0.0,SH,87.6,52.0,36.0,96.8,111.3,69
127145,2016/6/15,17:22:27,8.0,0.0,SH,85.11,52.0,36.0,96.8,111.3,71
127146,2016/6/15,17:22:33,8.0,0.0,SH,90.92,52.0,36.0,96.8,111.3,70
127147,2016/6/15,17:22:39,7.0,0.0,SH,82.62,52.0,36.0,96.8,111.3,68
127148,2016/6/15,17:22:45,7.0,0.0,0.06,91.75,52.0,36.0,96.8,111.3,70
127149,2016/6/15,17:22:52,7.0,0.0,0.06,75.15,52.0,36.0,96.8,111.3,70
127150,2016/6/15,17:22:58,7.0,0.0,0.06,80.13,52.0,36.0,96.8,111.3,69
127151,2016/6/15,17:23:4,7.0,0.0,0.06,76.81,52.0,36.0,96.8,111.3,66
127152,2016/6/15,17:23:10,7.0,0.0,0.05,75.98,52.0,36.0,96.8,111.3,68
127153,2016/6/15,17:23:16,6.0,0.0,0.05,70.17,52.0,36.0,96.8,111.3,71
127154,2016/6/15,17:23:22,6.0,0.0,0.05,71.83,52.0,36.0,96.8,111.3,70
127155,2016/6/15,17:23:28,6.0,0.0,0.05,80.96,52.0,36.0,96.8,111.3,70
127156,2016/6/15,17:23:35,6.0,0.0,0.04,71.83,52.0,36.0,96.8,111.3,70
127157,2016/6/15,17:23:41,7.0,0.0,0.04,74.32,52.0,36.0,96.8,111.3,71
127158,2016/6/15,17:23:47,7.0,0.0,0.05,78.47,52.0,36.0,96.8,111.3,69
127159,2016/6/15,17:23:53,7.0,0.0,0.04,59.37,52.0,36.0,96.8,111.3,67
127160,2016/6/15,17:23:59,7.0,0.0,0.04,79.3,52.0,36.0,96.8,111.3,67
127161,2016/6/15,17:24:5,7.0,0.0,0.05,75.98,52.0,36.0,96.8,111.3,68
127162,2016/6/15,17:24:11,7.0,0.0,0.04,81.79,51.0,36.0,96.8,110.46,66
127163,2016/6/15,17:24:17,7.0,0.0,SH,63.53,52.0,36.0,96.8,111.3,69
127164,2016/6/15,17:24:24,7.0,0.0,SH,88.43,51.0,36.0,96.8,110.46,71
127165,2016/6/15,17:24:30,7.0,0.0,SH,99.22,51.0,36.0,96.8,110.46,72
127166,2016/6/15,17:24:36,7.0,0.0,SH,72.66,51.0,36.0,96.8,110.46,71
127167,2016/6/15,17:24:42,7.0,0.0,SH,80.96,51.0,36.0,96.8,110.46,71
127168,2016/6/15,17:24:48,7.0,0.0,SH,76.81,51.0,36.0,96.8,110.46,72
127169,2016/6/15,17:24:54,7.0,0.0,SH,77.64,51.0,36.0,96.8,110.46,71
