,0,1,2,3,4,5,6,7,8,9,10
144229,2016/6/18,10:55:9,1.0,0.0,SH,-90.04,63.0,31.0,87.8,96.11,44
144230,2016/6/18,10:55:15,32.0,365.33,SH,64.36,63.0,31.0,87.8,96.11,45
144231,2016/6/18,10:55:21,27.0,177.02,SH,60.21,63.0,31.0,87.8,96.11,44
144232,2016/6/18,10:55:28,25.0,147.78,SH,74.32,63.0,31.0,87.8,96.11,44
144233,2016/6/18,10:55:34,28.0,210.93,SH,61.04,63.0,31.0,87.8,96.11,44
144234,2016/6/18,10:55:40,29.0,234.41,SH,65.19,63.0,31.0,87.8,96.11,44
144235,2016/6/18,10:55:46,27.0,181.92,SH,58.54,63.0,31.0,87.8,96.11,43
144236,2016/6/18,10:55:52,28.0,202.66,SH,78.47,63.0,31.0,87.8,96.11,43
144237,2016/6/18,10:55:58,28.0,208.15,SH,68.51,63.0,31.0,87.8,96.11,43
144238,2016/6/18,10:56:4,28.0,216.6,SH,71.0,63.0,31.0,87.8,96.11,43
144239,2016/6/18,10:56:11,26.0,160.73,76.59,61.04,63.0,31.0,87.8,96.11,42
144240,2016/6/18,10:56:17,26.0,167.55,50.10,62.7,63.0,31.0,87.8,96.11,42
144241,2016/6/18,10:56:23,26.0,172.23,34.46,69.34,63.0,31.0,87.8,96.11,42
144242,2016/6/18,10:56:29,27.0,181.92,34.46,61.87,63.0,31.0,87.8,96.11,42
144243,2016/6/18,10:56:35,28.0,213.75,34.46,61.87,63.0,31.0,87.8,96.11,42
144244,2016/6/18,10:56:41,28.0,216.6,50.10,59.37,63.0,31.0,87.8,96.11,42
144245,2016/6/18,10:56:48,28.0,225.36,50.10,58.54,63.0,31.0,87.8,96.11,42
144246,2016/6/18,10:56:54,28.0,210.93,50.10,84.28,63.0,31.0,87.8,96.11,42
144247,2016/6/18,10:57:0,26.0,154.14,34.46,57.71,63.0,31.0,87.8,96.11,42
144248,2016/6/18,10:57:6,25.0,141.64,24.65,75.15,63.0,31.0,87.8,96.11,42
144249,2016/6/18,10:57:12,27.0,189.47,24.65,68.51,63.0,31.0,87.8,96.11,42
144250,2016/6/18,10:57:18,28.0,210.93,50.10,64.36,64.0,31.0,87.8,96.59,42
144251,2016/6/18,10:57:24,19.0,52.15,8.46,78.47,64.0,31.0,87.8,96.59,41
144252,2016/6/18,10:57:31,13.0,16.93,3.21,66.02,64.0,31.0,87.8,96.59,41
144253,2016/6/18,10:57:37,22.0,89.48,8.46,64.36,63.0,31.0,87.8,96.11,41
144254,2016/6/18,10:57:43,23.0,99.61,SH,71.83,63.0,31.0,87.8,96.11,42
144255,2016/6/18,10:57:49,27.0,179.45,SH,75.15,63.0,31.0,87.8,96.11,42
144256,2016/6/18,10:57:55,29.0,237.49,SH,56.88,64.0,32.0,89.6,101.0,42
144257,2016/6/18,10:58:1,30.0,263.44,SH,53.56,64.0,32.0,89.6,101.0,42
144258,2016/6/18,10:58:7,28.0,213.75,SH,72.66,64.0,32.0,89.6,101.0,42
144259,2016/6/18,10:58:14,29.0,250.19,SH,60.21,63.0,32.0,89.6,100.42,42
144260,2016/6/18,10:58:20,27.0,181.92,SH,50.24,64.0,32.0,89.6,101.0,42
144261,2016/6/18,10:58:26,24.0,115.67,SH,61.04,63.0,32.0,89.6,100.42,42
144262,2016/6/18,10:58:32,23.0,99.61,SH,61.87,64.0,32.0,89.6,101.0,42
144263,2016/6/18,10:58:38,22.0,84.07,SH,60.21,64.0,32.0,89.6,101.0,42
144264,2016/6/18,10:58:44,21.0,70.54,8.46,62.7,63.0,32.0,89.6,100.42,41
144265,2016/6/18,10:58:50,22.0,85.4,10.71,63.53,64.0,32.0,89.6,101.0,41
144266,2016/6/18,10:58:57,19.0,53.98,6.80,54.39,63.0,32.0,89.6,100.42,40
144267,2016/6/18,10:59:3,12.0,12.75,2.33,66.02,63.0,32.0,89.6,100.42,40
144268,2016/6/18,10:59:9,12.0,12.75,1.53,74.32,63.0,32.0,89.6,100.42,40
144269,2016/6/18,10:59:15,22.0,88.1,2.33,71.83,63.0,32.0,89.6,100.42,41
144270,2016/6/18,10:59:21,26.0,158.51,18.21,75.15,63.0,32.0,89.6,100.42,41
144271,2016/6/18,10:59:27,21.0,71.69,6.80,75.98,63.0,32.0,89.6,100.42,40
144272,2016/6/18,10:59:33,21.0,78.93,6.80,95.9,62.0,33.0,91.4,104.45,40
144273,2016/6/18,10:59:40,17.0,36.34,3.21,85.11,63.0,32.0,89.6,100.42,40
144274,2016/6/18,10:59:46,17.0,40.63,3.21,66.85,62.0,33.0,91.4,104.45,40
144275,2016/6/18,10:59:52,20.0,59.79,3.81,81.79,62.0,33.0,91.4,104.45,40
144276,2016/6/18,10:59:58,23.0,107.39,8.46,76.81,62.0,33.0,91.4,104.45,40
144277,2016/6/18,11:0:4,24.0,126.27,13.81,62.7,62.0,33.0,91.4,104.45,41
144278,2016/6/18,11:0:10,21.0,78.93,10.71,60.21,62.0,33.0,91.4,104.45,40
144279,2016/6/18,11:0:16,15.0,27.12,SH,58.54,62.0,33.0,91.4,104.45,41
144280,2016/6/18,11:0:23,20.0,62.86,SH,71.83,62.0,33.0,91.4,104.45,41
144281,2016/6/18,11:0:29,14.0,21.58,SH,73.49,62.0,33.0,91.4,104.45,40
144282,2016/6/18,11:0:35,17.0,38.44,SH,53.56,62.0,33.0,91.4,104.45,41
144283,2016/6/18,11:0:41,17.0,40.63,SH,48.58,61.0,33.0,91.4,103.79,41
144284,2016/6/18,11:0:47,13.0,16.55,SH,72.66,61.0,33.0,91.4,103.79,40
144285,2016/6/18,11:0:53,17.0,37.03,SH,46.09,61.0,33.0,91.4,103.79,41
144286,2016/6/18,11:0:59,20.0,60.8,SH,74.32,61.0,33.0,91.4,103.79,41
144287,2016/6/18,11:1:6,24.0,113.97,SH,93.41,61.0,33.0,91.4,103.79,41
144288,2016/6/18,11:1:12,21.0,81.47,SH,100.05,61.0,33.0,91.4,103.79,41
144289,2016/6/18,11:1:18,17.0,33.68,3.21,65.19,61.0,33.0,91.4,103.79,40
144290,2016/6/18,11:1:24,18.0,46.94,2.72,54.39,61.0,33.0,91.4,103.79,40
144291,2016/6/18,11:1:30,11.0,0.0,0.93,54.39,61.0,33.0,91.4,103.79,39
144292,2016/6/18,11:1:36,9.0,0.0,0.55,73.49,61.0,33.0,91.4,103.79,40
144293,2016/6/18,11:1:42,19.0,53.06,1.05,55.22,61.0,33.0,91.4,103.79,40
144294,2016/6/18,11:1:49,22.0,86.74,4.57,68.51,61.0,34.0,93.2,108.68,40
144295,2016/6/18,11:1:55,17.0,40.63,2.72,68.51,61.0,34.0,93.2,108.68,40
144296,2016/6/18,11:2:1,15.0,24.49,1.53,52.73,60.0,34.0,93.2,107.92,40
144297,2016/6/18,11:2:7,20.0,61.83,1.75,51.07,60.0,34.0,93.2,107.92,40
144298,2016/6/18,11:2:13,18.0,47.78,2.72,61.87,60.0,34.0,93.2,107.92,40
144299,2016/6/18,11:2:19,17.0,36.34,1.53,68.51,60.0,34.0,93.2,107.92,40
144300,2016/6/18,11:2:25,16.0,29.97,1.18,76.81,60.0,34.0,93.2,107.92,40
144301,2016/6/18,11:2:32,14.0,21.12,1.05,65.19,59.0,34.0,93.2,107.17,40
144302,2016/6/18,11:2:38,14.0,18.52,0.68,94.24,59.0,34.0,93.2,107.17,40
