Date,Time,Value
2015/12/30,16:28:32,67
2015/12/30,16:28:34,68
2015/12/30,16:28:36,67
2015/12/30,16:28:38,67
2015/12/30,16:28:40,67
2015/12/30,16:28:43,66
2015/12/30,16:28:45,68
2015/12/30,16:28:47,66
2015/12/30,16:28:49,67
2015/12/30,16:28:52,68
2015/12/30,16:28:54,66
2015/12/30,16:28:56,65
2015/12/30,16:28:58,70
2015/12/30,16:29:3,69
2015/12/30,16:29:5,70
2015/12/30,16:29:12,71
2015/12/30,16:29:30,67
2015/12/30,16:29:32,71
2015/12/30,16:29:34,65
2015/12/30,16:29:37,67
2015/12/30,16:29:39,67
2015/12/30,16:29:41,67
2015/12/30,16:29:43,68
2015/12/30,16:30:6,69
2015/12/30,16:30:8,68
2015/12/30,16:30:10,68
2015/12/30,16:30:13,71
2015/12/30,16:30:15,68
2015/12/30,16:30:17,68
2015/12/30,16:30:19,67
2015/12/30,16:30:21,72
2015/12/30,16:30:24,69
2015/12/30,16:30:26,73
2015/12/30,16:30:28,68
2015/12/30,16:30:30,68
2015/12/30,16:30:33,70
2015/12/30,16:30:35,66
2015/12/30,16:30:37,67
2015/12/30,16:30:39,67
2015/12/30,16:30:42,69
2015/12/30,16:30:44,67
2015/12/30,16:30:46,69
2015/12/30,16:30:48,69
2015/12/30,16:30:51,70
2015/12/30,16:30:55,69
2015/12/30,16:31:0,68
2015/12/30,16:31:4,91
2015/12/30,16:31:13,66
2015/12/30,16:31:15,66
2015/12/30,16:31:18,66
2015/12/30,16:31:20,68
2015/12/30,16:31:22,68
2015/12/30,16:31:24,67
2015/12/30,16:31:26,68
2015/12/30,16:31:29,67
2015/12/30,16:31:31,74
2015/12/30,16:31:33,66
2015/12/30,16:31:35,68
2015/12/30,16:31:38,68
2015/12/30,16:31:40,71
2015/12/30,16:31:47,92
2015/12/30,16:31:49,134
2015/12/30,16:31:51,71
2015/12/30,16:31:53,114
2015/12/30,16:31:56,134
2015/12/30,16:31:58,126
2015/12/30,16:32:0,129
2015/12/30,16:32:2,139
2015/12/30,16:32:5,128
2015/12/30,16:32:7,133
2015/12/30,16:32:9,131
2015/12/30,16:32:11,132
2015/12/30,16:32:20,125
2015/12/30,16:32:23,130
2015/12/30,16:32:25,130
2015/12/30,16:32:27,68
2015/12/30,16:32:29,123
2015/12/30,16:32:32,69
2015/12/30,16:32:34,70
2015/12/30,16:32:36,70
2015/12/30,16:32:38,66
2015/12/30,16:32:41,76
2015/12/30,16:32:43,69
2015/12/30,16:32:45,72
2015/12/30,16:32:47,71
2015/12/30,16:32:50,67
2015/12/30,16:32:54,68
2015/12/30,16:32:56,68
2015/12/30,16:32:58,65
2015/12/30,16:33:1,66
2015/12/30,16:33:3,65
2015/12/30,16:33:7,70
2015/12/30,16:33:10,68
2015/12/30,16:33:12,70
2015/12/30,16:33:14,89
2015/12/30,16:33:16,71
2015/12/30,16:33:19,68
2015/12/30,16:33:21,69
2015/12/30,16:33:23,68
2015/12/30,16:33:25,66
2015/12/30,16:33:28,66
2015/12/30,16:33:34,67
2015/12/30,16:33:37,67
2015/12/30,16:33:39,68
2015/12/30,16:33:41,67
2015/12/30,16:33:43,64
2015/12/30,16:33:46,65
2015/12/30,16:33:48,67
2015/12/30,16:33:50,66
2015/12/30,16:33:55,82
2015/12/30,16:34:4,85
2015/12/30,16:34:6,82
2015/12/30,16:34:8,67
2015/12/30,16:34:10,71
2015/12/30,16:34:15,68
2015/12/30,16:34:17,70
2015/12/30,16:34:19,68
2015/12/30,16:34:21,68
2015/12/30,16:34:24,68
2015/12/30,16:34:26,69
2015/12/30,16:34:28,67
2015/12/30,16:34:30,68
2015/12/30,16:34:33,73
2015/12/30,16:34:57,73
2015/12/30,16:35:2,122
