,0,1,2,3,4,5,6,7,8,9,10
51092,2016/6/7,0:0:0,7.0,0.0,SH,80.13,47.0,32.0,89.6,92.61,38
51093,2016/6/7,0:0:6,7.0,0.0,SH,66.02,48.0,32.0,89.6,93.01,38
51094,2016/6/7,0:0:12,7.0,0.0,SH,82.62,47.0,32.0,89.6,92.61,38
51095,2016/6/7,0:0:18,7.0,0.0,SH,74.32,47.0,33.0,91.4,95.83,38
51096,2016/6/7,0:0:24,7.0,0.0,SH,82.62,46.0,33.0,91.4,95.36,38
51097,2016/6/7,0:0:30,7.0,0.0,SH,61.04,47.0,33.0,91.4,95.83,38
51098,2016/6/7,0:0:36,7.0,0.0,0.04,65.19,47.0,33.0,91.4,95.83,38
51099,2016/6/7,0:0:42,7.0,0.0,0.02,97.56,47.0,33.0,91.4,95.83,38
51100,2016/6/7,0:0:49,7.0,0.0,0.03,77.64,47.0,33.0,91.4,95.83,38
51101,2016/6/7,0:0:55,7.0,0.0,0.03,74.32,47.0,33.0,91.4,95.83,38
51102,2016/6/7,0:1:1,7.0,0.0,0.03,86.77,47.0,33.0,91.4,95.83,38
51103,2016/6/7,0:1:7,7.0,0.0,0.03,73.49,47.0,33.0,91.4,95.83,38
51104,2016/6/7,0:1:13,7.0,0.0,0.03,69.34,47.0,33.0,91.4,95.83,38
51105,2016/6/7,0:1:19,7.0,0.0,0.03,82.62,47.0,33.0,91.4,95.83,38
51106,2016/6/7,0:1:25,7.0,0.0,0.03,64.36,47.0,33.0,91.4,95.83,38
51107,2016/6/7,0:1:31,7.0,0.0,0.03,71.0,47.0,33.0,91.4,95.83,38
51108,2016/6/7,0:1:37,7.0,0.0,0.04,80.96,47.0,33.0,91.4,95.83,38
51109,2016/6/7,0:1:43,7.0,0.0,0.03,84.28,47.0,33.0,91.4,95.83,38
51110,2016/6/7,0:1:50,7.0,0.0,0.03,72.66,46.0,33.0,91.4,95.36,38
51111,2016/6/7,0:1:56,7.0,0.0,0.03,76.81,46.0,33.0,91.4,95.36,38
51112,2016/6/7,0:2:2,7.0,0.0,0.03,71.83,46.0,33.0,91.4,95.36,38
51113,2016/6/7,0:2:8,7.0,0.0,SH,68.51,46.0,33.0,91.4,95.36,38
51114,2016/6/7,0:2:14,7.0,0.0,SH,78.47,46.0,33.0,91.4,95.36,38
51115,2016/6/7,0:2:20,7.0,0.0,SH,75.98,46.0,33.0,91.4,95.36,38
51116,2016/6/7,0:2:26,7.0,0.0,SH,65.19,46.0,33.0,91.4,95.36,38
51117,2016/6/7,0:2:32,7.0,0.0,SH,66.02,45.0,33.0,91.4,94.9,38
51118,2016/6/7,0:2:38,7.0,0.0,SH,80.96,45.0,33.0,91.4,94.9,38
51119,2016/6/7,0:2:44,7.0,0.0,SH,61.87,45.0,33.0,91.4,94.9,38
51120,2016/6/7,0:2:50,7.0,0.0,SH,93.41,45.0,33.0,91.4,94.9,38
51121,2016/6/7,0:2:57,7.0,0.0,SH,68.51,45.0,33.0,91.4,94.9,38
51122,2016/6/7,0:3:3,7.0,0.0,SH,73.49,45.0,33.0,91.4,94.9,38
51123,2016/6/7,0:3:9,7.0,0.0,0.04,74.32,45.0,33.0,91.4,94.9,38
51124,2016/6/7,0:3:15,7.0,0.0,0.03,77.64,45.0,33.0,91.4,94.9,38
51125,2016/6/7,0:3:21,7.0,0.0,0.03,62.7,45.0,33.0,91.4,94.9,38
51126,2016/6/7,0:3:27,7.0,0.0,0.03,80.13,45.0,33.0,91.4,94.9,38
51127,2016/6/7,0:3:33,7.0,0.0,0.03,63.53,45.0,33.0,91.4,94.9,38
51128,2016/6/7,0:3:39,7.0,0.0,0.03,64.36,45.0,33.0,91.4,94.9,38
51129,2016/6/7,0:3:45,7.0,0.0,0.03,75.15,45.0,33.0,91.4,94.9,38
51130,2016/6/7,0:3:51,7.0,0.0,0.03,105.86,45.0,33.0,91.4,94.9,38
51131,2016/6/7,0:3:58,7.0,0.0,0.03,60.21,45.0,33.0,91.4,94.9,38
51132,2016/6/7,0:4:4,7.0,0.0,0.03,79.3,45.0,33.0,91.4,94.9,38
51133,2016/6/7,0:4:10,7.0,0.0,0.03,80.13,45.0,33.0,91.4,94.9,38
51134,2016/6/7,0:4:16,7.0,0.0,0.03,80.96,45.0,33.0,91.4,94.9,38
51135,2016/6/7,0:4:22,7.0,0.0,0.03,82.62,45.0,33.0,91.4,94.9,38
51136,2016/6/7,0:4:28,7.0,0.0,0.03,71.0,45.0,33.0,91.4,94.9,38
51137,2016/6/7,0:4:34,7.0,0.0,0.03,86.77,45.0,33.0,91.4,94.9,38
51138,2016/6/7,0:4:40,7.0,0.0,SH,53.56,45.0,33.0,91.4,94.9,38
51139,2016/6/7,0:4:46,7.0,0.0,SH,100.05,45.0,33.0,91.4,94.9,38
51140,2016/6/7,0:4:52,7.0,0.0,SH,60.21,45.0,33.0,91.4,94.9,38
51141,2016/6/7,0:4:58,7.0,0.0,SH,71.83,45.0,33.0,91.4,94.9,38
51142,2016/6/7,0:5:5,7.0,0.0,SH,69.34,45.0,33.0,91.4,94.9,38
51143,2016/6/7,0:5:11,7.0,0.0,SH,64.36,45.0,33.0,91.4,94.9,38
51144,2016/6/7,0:5:17,7.0,0.0,SH,65.19,45.0,33.0,91.4,94.9,38
51145,2016/6/7,0:5:23,7.0,0.0,SH,76.81,45.0,33.0,91.4,94.9,38
51146,2016/6/7,0:5:29,7.0,0.0,SH,80.96,45.0,33.0,91.4,94.9,38
51147,2016/6/7,0:5:35,7.0,0.0,SH,66.02,45.0,33.0,91.4,94.9,38
51148,2016/6/7,0:5:41,7.0,0.0,0.04,72.66,45.0,33.0,91.4,94.9,38
51149,2016/6/7,0:5:47,7.0,0.0,0.03,93.41,45.0,33.0,91.4,94.9,38
51150,2016/6/7,0:5:53,7.0,0.0,0.03,84.28,45.0,33.0,91.4,94.9,38
51151,2016/6/7,0:5:59,7.0,0.0,0.03,78.47,45.0,33.0,91.4,94.9,38
51152,2016/6/7,0:6:5,7.0,0.0,0.02,84.28,45.0,33.0,91.4,94.9,38
51153,2016/6/7,0:6:12,7.0,0.0,0.03,199.66,45.0,33.0,91.4,94.9,38
51154,2016/6/7,0:6:18,7.0,0.0,0.03,75.98,45.0,33.0,91.4,94.9,38
51155,2016/6/7,0:6:24,7.0,0.0,0.03,59.37,45.0,33.0,91.4,94.9,38
51156,2016/6/7,0:6:30,7.0,0.0,0.03,69.34,45.0,33.0,91.4,94.9,38
51157,2016/6/7,0:6:36,7.0,0.0,0.03,67.68,45.0,33.0,91.4,94.9,38
51158,2016/6/7,0:6:42,7.0,0.0,0.03,70.17,45.0,33.0,91.4,94.9,38
51159,2016/6/7,0:6:48,7.0,0.0,0.05,84.28,45.0,33.0,91.4,94.9,38
51160,2016/6/7,0:6:54,7.0,0.0,0.03,87.6,45.0,33.0,91.4,94.9,38
51161,2016/6/7,0:7:0,7.0,0.0,0.04,91.75,45.0,33.0,91.4,94.9,38
51162,2016/6/7,0:7:6,7.0,0.0,0.03,81.79,45.0,33.0,91.4,94.9,38
51163,2016/6/7,0:7:13,7.0,0.0,SH,80.13,45.0,33.0,91.4,94.9,38
51164,2016/6/7,0:7:19,7.0,0.0,SH,82.62,45.0,33.0,91.4,94.9,38
51165,2016/6/7,0:7:25,7.0,0.0,SH,80.96,45.0,33.0,91.4,94.9,38
51166,2016/6/7,0:7:31,7.0,0.0,SH,71.0,45.0,33.0,91.4,94.9,38
51167,2016/6/7,0:7:37,7.0,0.0,SH,80.13,45.0,33.0,91.4,94.9,38
51168,2016/6/7,0:7:43,7.0,0.0,SH,127.44,45.0,33.0,91.4,94.9,39
51169,2016/6/7,0:7:49,7.0,0.0,SH,95.07,46.0,33.0,91.4,95.36,38
51170,2016/6/7,0:7:55,7.0,0.0,SH,68.51,46.0,33.0,91.4,95.36,38
51171,2016/6/7,0:8:1,7.0,0.0,SH,81.79,46.0,33.0,91.4,95.36,38
51172,2016/6/7,0:8:7,7.0,0.0,SH,66.85,46.0,33.0,91.4,95.36,38
51173,2016/6/7,0:8:13,7.0,0.0,0.04,86.77,46.0,33.0,91.4,95.36,38
51174,2016/6/7,0:8:20,7.0,0.0,0.03,67.68,46.0,33.0,91.4,95.36,38
51175,2016/6/7,0:8:26,7.0,0.0,0.03,55.22,46.0,33.0,91.4,95.36,38
51176,2016/6/7,0:8:32,7.0,0.0,0.03,271.88,46.0,33.0,91.4,95.36,38
51177,2016/6/7,0:8:38,7.0,0.0,0.04,76.81,46.0,33.0,91.4,95.36,38
51178,2016/6/7,0:8:44,7.0,0.0,0.03,101.71,47.0,33.0,91.4,95.83,38
51179,2016/6/7,0:8:50,7.0,0.0,0.03,52.73,47.0,33.0,91.4,95.83,38
51180,2016/6/7,0:8:56,7.0,0.0,0.03,80.13,47.0,33.0,91.4,95.83,38
51181,2016/6/7,0:9:2,7.0,0.0,0.03,73.49,47.0,33.0,91.4,95.83,38
